dish_id,recipe_index,name,category,is_healthy,preference,image_url,cuisines,ingredients,dietary_tags,spice_level,preparation_time,description,original_recipe_id,original_url
csv_6_pudina_khara_pongal_,6,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),Breakfast,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/nithya.anantham/Mint_Khara_Pongal_Recipe.jpg,"[""South Indian""]",[],"[""vegetarian"",""traditional"",""easy""]",Mild,,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices) - South Indian Recipes cuisine.,,https://www.archanaskitchen.com/pudina-khara-pongal-recipe-rice-and-lentils-cooked-with-mint-leaves-mild-spices
csv_9_spicy_crunchy_masala,9,Spicy Crunchy Masala Idli Recipe,Breakfast,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/Guest_Writers/Jeny_John/Spicy_Crunchy_Masala_Idli_Recipe.jpg,"[""South Indian""]",[],"[""vegetarian"",""street-food""]",Spicy,,Spicy Crunchy Masala Idli Recipe - South Indian Recipes cuisine.,,https://www.archanaskitchen.com/spicy-crunchy-masala-idli-recipe
csv_8_mexican_style_black_,8,Mexican Style Black Bean Burrito Recipe,Dinner,,Non-Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuri_Aggarwal/Black_Bean_Burrito.jpg,"[""Other""]",[],[],Medium,,Mexican Style Black Bean Burrito Recipe - Mexican cuisine.,,https://www.archanaskitchen.com/black-bean-burrito-recipe
csv_1_masala_karela_recipe,1,Masala Karela Recipe,Dinner,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Pooja_Thakur/Karela_Masala_Recipe-4_1600.jpg,"[""Indian""]",[],"[""vegetarian"",""traditional"",""easy""]",Medium,,Masala Karela Recipe - Indian cuisine.,,https://www.archanaskitchen.com/masala-karela-recipe
csv_5_andhra_style_alam_pa,5,Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),Breakfast,,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Allam_Pachadi_Ginger_Chutney_Recipe_.jpg,"[""South Indian"",""Hyderabadi""]",[],"[""vegetarian"",""traditional""]",Spicy,,Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe) - Andhra cuisine.,,https://www.archanaskitchen.com/andhra-style-allam-pachadi-ginger-chutney-recipe-in-hindi
csv_4_gongura_chicken_curr,4,Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,Lunch,,Non-Veg,https://www.archanaskitchen.com/images/archanaskitchen/Ghongura_Chicken_Curry_Recipe-2_1600.jpg,"[""South Indian""]",[],"[""non-vegetarian"",""spicy""]",Spicy,,Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken - Andhra cuisine.,,https://www.archanaskitchen.com/gongura-chicken-curry-recipe-andhra-style-gongura-chicken
csv_2_spicy_tomato_rice_(r,2,Spicy Tomato Rice (Recipe),Dinner,,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/b.yojana-gmail.com/Spicy_Thakkali_Rice_Tomato_Pulihora-1_edited.jpg,"[""South Indian""]",[],"[""vegetarian"",""traditional"",""street-food""]",Spicy,,A flavorful South Indian dish made with spicy tomato puree served with steaming hot rice.,,https://www.archanaskitchen.com/spicy-tomato-rice-recipe-in-hindi
csv_7_udupi_style_ash_gour,7,Udupi Style Ash Gourd Coconut Curry Recipe,Lunch,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Udupi_Style_Ash_Gourd_Coconut_Curry_Recipe_.jpg,"[""South Indian""]",[],"[""vegetarian"",""traditional"",""street-food""]",Medium,,Udupi Style Ash Gourd Coconut Curry Recipe - Udupi cuisine.,,https://www.archanaskitchen.com/udupi-style-ash-gourd-coconut-curry-recipe
csv_10_cauliflower_leaves_c,10,Cauliflower Leaves Chutney (Recipe in Hindi),Dinner,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/anu.mallajosyula-gmail.com/Cauliflower_leaf_chutney_recipe_edited_1.jpg,"[""South Indian""]",[],"[""vegetarian"",""traditional""]",Medium,,"A tangy and flavorful chutney made with cauliflower leaves, tomatoes, and spices, perfect for serving with Vegetable Sambar and Rice.",,https://www.archanaskitchen.com/cauliflower-leaves-chutney-recipe-in-hindi
csv_3_ragi_semiya_upma_rec,3,Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,Breakfast,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Monika_Manchanda/Ragi_vermicilli.jpg,"[""South Indian""]",[],"[""vegetarian"",""gluten-free"",""traditional""]",Medium,,Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast - South Indian Recipes cuisine.,,https://www.archanaskitchen.com/ragi-vermicelli-semiya-recipe-healthy-finger-millet-semiya-breakfast
csv_15_saunf_aloo_(fennel_p,15,Saunf Aloo (Fennel Potato Curry) Recipe,Dinner,,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Madhuri_Aggarwal/Saunf_Aloo__Fennel_Potato_Curry.jpg,"[""Punjabi""]",[],"[""traditional""]",Medium,,Saunf Aloo (Fennel Potato Curry) Recipe - Punjabi cuisine.,,https://www.archanaskitchen.com/saunf-aloo-fennel-potato-curry-recipe
csv_16_south_indian_onion_c,16,South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe),Breakfast,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Aparna/The_Healthy_South_Indian_Onion_Chutney_1600.jpg,"[""South Indian""]",[],"[""vegetarian"",""traditional""]",Medium,,South Indian Onion Chutney Recipe - South Indian Onion Chutney (Recipe) - South Indian Recipes cuisine.,,https://www.archanaskitchen.com/south-indian-onion-chutney-recipe-in-hindi
csv_11_homemade_baked_beans,11,Homemade Baked Beans Recipe (Wholesome & Healthy),Lunch,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/World_Breakfast/Homemade_baked_beans_Recipe_healthy_breakfast_shutterstock_222439996.jpg,"[""Fusion""]",[],"[""vegetarian"",""gluten-free""]",Medium,,Homemade Baked Beans Recipe (Wholesome & Healthy) - Fusion cuisine.,,https://www.archanaskitchen.com/homemade-baked-beans-recipe-wholesome-healthy
csv_13_andhra_steel_ingavu_,13,Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam,Lunch,,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Andhra_Style_Ingavu_Chaaru_Recipe_Asafetida_flavored_Tamarind_Rasam.jpg,"[""South Indian"",""Hyderabadi""]",[],"[""vegetarian"",""traditional"",""street-food""]",Spicy,,Andhra Steel Ingavu Charu Recipe - Asfoitida Flavored Tamarand Rasam - Andhra cuisine.,,https://www.archanaskitchen.com/andhra-style-ingavu-chaaru-recipe-asafetida-flavored-tamarind-rasam
csv_14_and_fish_soup_recipe,14,And fish soup recipe - Bengali style fish in tomato gravy,Dinner,,Non-Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/donna_george/Aar_Macher_Jhol__Bengali_Style_Fish_In_Spicy_Tomato_Gravy_1600.jpg,"[""Bengali""]",[],"[""protein-rich"",""traditional""]",Spicy,,And fish soup recipe - Bengali style fish in tomato gravy - Bengali Recipes cuisine.,,https://www.archanaskitchen.com/aar-macher-jhol-recipe-bengali-style-fish-in-spicy-tomato-gravy
csv_17_hariyali_egg_curry_r,17,Hariyali Egg Curry Recipe In Coriander and Mint Gravy,Dinner,,Non-Veg,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/Hariyali_Egg_Curry_Recipe_Creamy_Coriander_and_Mint_Curry-5_1600.jpg,"[""Indian""]",[],"[""non-vegetarian"",""egg-based""]",Medium,,Hariyali Egg Curry Recipe In Coriander and Mint Gravy - Indian cuisine.,,https://www.archanaskitchen.com/hariyali-egg-curry-recipe-in-coriander-and-mint-gravy
csv_12_veg_chili_cheese_bur,12,Veg Chili Cheese Burgers Recipe,Lunch,,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Veg_Chili_Cheese_Burgers_Recipe.jpg,"[""Continentl"",""Indo-Chinese""]",[],"[""vegetarian"",""gluten-free"",""quick"",""easy""]",Spicy,,Veg Chili Cheese Burgers Recipe - Continental cuisine.,,https://www.archanaskitchen.com/veg-chili-cheese-burgers-recipe
csv_19_homemade_tater_tots_,19,Homemade Tater Tots Recipe,Snack,,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/Homemade_Tater_Tots.jpg,"[""Continental""]",[],"[""Quick"",""Easy""]",Mild,,Homemade Tater Tots Recipe - Continental cuisine.,,https://www.archanaskitchen.com/homemade-tater-tots-recipe
csv_20_chettinad_vegetable_,20,Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe,Dinner,,Veg,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Rice/Chettinad_Vegetable_Pulao_Recipe_with_Kohinoor_Platinum_Basmati_Rice_-1.jpg,"[""South Indian"",""Hyderabadi""]",[],"[""vegetarian"",""traditional""]",Spicy,,Chettinad Vegetable Casserole Recipe - Chettinad Vegetable Pulao Recipe - Chettinad cuisine.,,https://www.archanaskitchen.com/chettinad-vegetable-pulao-recipe-with-kohinoor-silver-basmati-rice-in-hindi
csv_18_gourd_raita_recipe_-,18,Gourd Raita Recipe - Grated Bottle Gourd Yogurt Salad,Dinner,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/Indian_Raitas/Lauki_Raita_Recipe_Grated_Bottle_Gourd_Yogurt_Salad-1.jpg,"[""Indian""]",[],"[""vegetarian"",""traditional""]",Mild,,"A refreshing and cooling Indian yogurt salad made with grated bottle gourd, cucumber, and a hint of cumin powder, perfect for balancing spicy meals.",,https://www.archanaskitchen.com/grated-bottle-gourd-yogurt-salad-recipe-in-hindi
csv_21_garlic_amla_chutney_,21,Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe,Breakfast,1,Unknown,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/swathynandhini/Garlic_Amla_Chutney_Recipe_-_Garlic_And_Gooseberry_Chutney.jpg,"[""South Indian""]",[],"[""vegetarian""]",Mild,,Garlic Amla Chutney Recipe - Lehsun Amla Chutney Recipe - Tamil Nadu cuisine.,,https://www.archanaskitchen.com/lehsun-amla-chutney-recipe-garlic-gooseberry-chutney-in-hindi
csv_25_kesar_mango_lassi_re,25,Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe,Snack,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/pooja/Mango_Saffron_Lassi.jpg,"[""Indian""]",[],"[""vegetarian"",""traditional"",""easy""]",Mild,,Kesar Mango Lassi Recipe - Saffron Mango Lassi Recipe - Indian cuisine.,,https://www.archanaskitchen.com/mango-saffron-lassi-recipe
csv_27_mini_dal_samosa_curr,27,Mini Dal Samosa Curry / Sabzi Recipe,Dinner,,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/simpiagrawal-gmail.com/Mini_Dal_Samosa_Curry.jpg,"[""North Indian""]",[],"[""vegetarian"",""traditional""]",Medium,,Mini Dal Samosa Curry / Sabzi Recipe - North Indian Recipes cuisine.,,https://www.archanaskitchen.com/mini-dal-samosa-curry-recipe
csv_23_homemade_healthy_sub,23,Homemade Healthy Subway Sandwich Recipe With Beet & Sprout,Lunch,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/World_Sandwiches_Burgers_Wraps/Beet_and_Sprout_Vegetable_Sandwich_Recipe-1.jpg,"[""Fusion""]",[],"[""vegetarian"",""gluten-free"",""quick"",""easy""]",Medium,,Homemade Healthy Subway Sandwich Recipe With Beet & Sprout - Fusion cuisine.,,https://www.archanaskitchen.com/homemade-healthy-subway-sandwich-recipe-with-beet-sprout
csv_28_spinach_garlic_brusc,28,Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce,Dinner,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/World_appetizer/spinach-garlic-bruschetta-with-red-bell-pepper-sauce.jpg,"[""Italian""]",[],"[""vegetarian"",""gluten-free""]",Mild,,Spinach Garlic Bruschetta Recipe With Red Bell Pepper Sauce - Italian Recipes cuisine.,,https://www.archanaskitchen.com/spinach-garlic-bruschetta-recipe-with-red-bell-pepper-sauce
csv_29_mini_dal_mature_chat,29,Mini Dal Mature Chat Recipe - That Perfect Party Snack,Snack,,Veg,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Mini_Dal_Pakwan_Chaat_Recipe-9_1600.jpg,"[""Sindhi""]",[],"[""Vegetarian"",""Street Food""]",Medium,,Mini Dal Mature Chat Recipe - That Perfect Party Snack - Sindhi cuisine.,,https://www.archanaskitchen.com/mini-dal-pakwan-chaat-recipe-a-perfect-party-snack
csv_24_south_indian_style_m,24,South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry,Dinner,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/vidya.masalachilli-gmail.com/Drumsticks_Poriyal__South_Style_Drumsticks_Sabzi_recipe.jpg,"[""South Indian""]",[],"[""vegetarian"",""traditional""]",Medium,,South Indian Style Murungakkai Poriyal Recipe - Drumstick Stir Fry - South Indian Recipes cuisine.,,https://www.archanaskitchen.com/murungakkai-poriyal-recipe-south-indian-style-drumstick-stir-fry
csv_22_maharashtrian_kakdi_,22,Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread,Breakfast,1,Veg,https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Raksha_Kamat/Cucumber_Thalipeeth.jpg,"[""Marathi""]",[],"[""vegetarian"",""gluten-free"",""traditional""]",Medium,,Maharashtrian Kakdi Thalipeeth Recipe - Spiced Cucumber Flat Bread - Maharashtrian Recipes cuisine.,,https://www.archanaskitchen.com/maharashtrian-kakdi-thalipeeth-recipe-spiced-cucumber-flat-bread
csv_30_asian_style_sweet_&_,30,Asian Style Sweet & Spicy Green Beans Recipe,Dinner,,Non-Veg,https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/Asian_Style_Green_Beans_Recipe_8_1600.jpg,"[""Other""]",[],[],Medium,,Asian Style Sweet & Spicy Green Beans Recipe - Thai cuisine.,,https://www.archanaskitchen.com/asian-style-spicy-green-beans-recipe
